DATE_ID,LOCATION,VISIT_CLASS_ID,UNIQUE_USERS
20230303,m_15105,Abitante abituale,18424
20230304,m_15213,Pernottante,1404
20230304,m_15213,Visitatore,9644
20230304,m_15213,Abitante abituale,13129
20230305,m_15116,Pernottante,4372
20230305,m_15116,Visitatore,11898
20230305,m_15116,Abitante abituale,17799
20230309,m_15113,Pernottante,999
20230309,m_15113,Visitatore,4918
20230309,m_15113,Abitante abituale,6126
20230310,a_15146_27,Pernottante,4573
20230310,a_15146_27,Visitatore,13810
20230310,a_15146_27,Abitante abituale,18344
20230311,m_15007,Pernottante,761
20230311,m_15007,Visitatore,2064
20230311,m_15007,Abitante abituale,3628
20230312,m_15022,Pernottante,381
20230312,m_15022,Abitante abituale,884
20230312,m_15022,Visitatore,1080
20230312,m_15086,Pernottante,4317
20230312,m_15086,Visitatore,11737
20230312,m_15086,Abitante abituale,15953
20230315,m_15182,Pernottante,9933
20230315,m_15182,Visitatore,31667
20230315,m_15182,Abitante abituale,40016
20230316,m_15122,Pernottante,1279
20230316,m_15122,Abitante abituale,3407
20230316,m_15122,Visitatore,5334
20230319,m_15097,Pernottante,1125
20230319,m_15097,Abitante abituale,5562
20230319,m_15097,Visitatore,6267
20230319,m_15175,Pernottante,5383
20230319,m_15175,Visitatore,12624
20230319,m_15175,Abitante abituale,24511
20230320,a_15146_50,Pernottante,5522
20230320,a_15146_50,Abitante abituale,16525
20230320,a_15146_50,Visitatore,29681
20230322,a_15146_53,Pernottante,2797
20230322,a_15146_53,Abitante abituale,9961
20230322,a_15146_53,Visitatore,10095
20230322,m_15036,Pernottante,4094
20230322,m_15036,Visitatore,17879
20230322,m_15036,Abitante abituale,22923
20230322,m_15219,Pernottante,485
20230322,m_15219,Visitatore,2360
20230322,m_15219,Abitante abituale,3547
20230323,m_15051,Pernottante,1658
20230323,m_15051,Abitante abituale,10807
20230323,m_15051,Visitatore,14870
20230324,m_15070,Pernottante,5704
20230324,m_15070,Visitatore,22485
20230324,m_15070,Abitante abituale,29739
20230327,m_15055,Pernottante,331
20230327,m_15055,Abitante abituale,924
20230327,m_15055,Visitatore,1735
20230327,m_15242,Pernottante,3218
20230327,m_15242,Abitante abituale,13374
20230327,m_15242,Visitatore,15030
