categoria,data_fine,data_inizio,indirizzo,luogo,titolo,url,macro_categoria,geocoded_address,lat,long
,16-01-22,2022-01-15,"Via Dalmazia, 11, Milano, MI",Cinema Teatro delfino,50 (+1) anni di delfino!,https://www.milanotoday.it/eventi/50-1-anni-di-delfino-8707445.html,Non classificato,"Via Dalmazia, Quartiere Forlanini, Mecenate, Municipio 4, Milano, Lombardia, 20059, Italia",45.4585428,9.2453047
Incontri,16-01-22,2022-01-15,"Via San Vittore, Milano, MI",Museo Nazionale della Scienza e della Tecnologia,Al Museo della Scienza uno speciale weekend dedicato ai bambini,https://www.milanotoday.it/eventi/laboratori-bambini-museo-scienza.html,Formazione e networking,"Via San Vittore, Magenta - San Vittore, Municipio 1, Milano, Lombardia, 20144, Italia",45.4640293,9.1681174
Mostre,20-03-22,2022-01-15,"Via Giulio Cesare Procaccini, 11, Milano, MI",Fabbrica del Vapore,A Milano una mostra immersiva con Geronimo Stilton,https://www.milanotoday.it/eventi/mostra-geronimo-stilton-fabbrica-del-vapore.html,Arte e cultura,"11, Via Giulio Cesare Procaccini, Sarpi, Porta Volta, Municipio 8 di Milano, Milano, Lombardia, 20154, Italia",45.4836754,9.1735545
Mostre,06-02-22,2022-01-15,"Viale Campania, 12, Milano, MI",Wow Spazio Fumetto,A Milano una mostra a fumetti racconta la violenza sulle donne,https://www.milanotoday.it/eventi/mostra-violenza-donne-fumetti.html,Arte e cultura,"12, Viale Campania, Corsica, Municipio 4, Milano, Lombardia, 20133, Italia",45.4634024,9.2242161
Spettacoli,16-01-22,2022-01-16,"Via Ciro Menotti 11,20129, Milano, MI,Italia",Menotti,Far finta di essere sani,https://www.teatro.it/spettacoli/milano/menotti/2021-2022/far-finta-di-essere-sani,Teatro e spettacolo,"Teatro Menotti, 11, Via Ciro Menotti, Buenos Aires - Venezia, Municipio 3, Milano, Lombardia, 20129, Italia",45.4699775,9.2131112
Spettacoli,16-01-22,2022-01-16,"Via Alessandro Manzoni 42,20121, Milano, MI,Italia",Manzoni,Vincenzo Salemme - Napoletano? E famme 'na pizza!,https://www.teatro.it/spettacoli/milano/manzoni/2021-2022/napoletano-e-famme-na-pizza,Teatro e spettacolo,"Teatro Manzoni, 42, Via Alessandro Manzoni, Cerchia dei Navigli, Municipio 1, Milano, Lombardia, 20121, Italia",45.4710286,9.1944762
Incontri,16-01-22,2022-01-16,"Via Vigevano, 3, Milano, MI",Fondazione Arnaldo Pomodoro,Alla Fondazione Arnaldo Pomodoro un laboratorio sul gesso,https://www.milanotoday.it/eventi/laboratorio-bambini-gesso-fondazione-arnaldo-pomodoro.html,Formazione e networking,"Fondazione Arnaldo Pomodoro, 3, Via Vigevano, Navigli, Municipio 6, Milano, Lombardia, 20144, Italia",45.4523858,9.1755421
Spettacoli,16-01-22,2022-01-16,"Via Larga 14,20122, Milano, MI,Italia",Lirico Giorgio Gaber,L'Instant Theatre,https://www.teatro.it/spettacoli/milano/lirico-giorgio-gaber/2021-2022/enrico-bertolino-linstant-theatre,Teatro e spettacolo,"Teatro Lirico Giorgio Gaber, 14, Via Larga, Cerchia dei Navigli, Municipio 1, Milano, Lombardia, 20122, Italia",45.4615135,9.1918702
Spettacoli,16-01-22,2022-01-16,"Via Ciro Menotti 11,20129, Milano, MI,Italia",Menotti,Far finta di essere sani,https://www.teatro.it/spettacoli/milano/menotti/2021-2022/far-finta-di-essere-sani,Teatro e spettacolo,"Teatro Menotti, 11, Via Ciro Menotti, Buenos Aires - Venezia, Municipio 3, Milano, Lombardia, 20129, Italia",45.4699775,9.2131112
Teatri,16-01-22,2022-01-16,"Via Fratelli Zoia, Milano, MI",Spazio Teatro 89,"""Nina e il mare"", un nuovo spettacolo per bambini",https://www.milanotoday.it/eventi/spettacolo-nina-e-il-mare-spazio-teatro-89.html,Teatro e spettacolo,"Via Fratelli Zoia, La Viridiana, Forze Armate, Municipio 7, Milano, Lombardia, 20152, Italia",45.4624104,9.1101496
