categoria,data_fine,data_inizio,indirizzo,luogo,titolo,url,macro_categoria,geocoded_address,lat,long,cluster,subcluster,hierarchical_id,subsubcluster
,08-07-23,27-06-23,"Via Santa Maria Valle, 2, Milano, MI",MA-EC Gallery,Artemida art week,https://www.milanotoday.it/eventi/artemida-art-week-2023.html,Non classificato,"Fondazione Alessandro Durini, 2, Via Santa Maria Valle, Cerchia dei Navigli, Municipio 1, Milano, Lombardia, 20123, Italia",45.4600544,9.1838916,0,0,0.1,1
Concerti,27-06-23,27-06-23,"Piazza del Duomo, Milano, MI",Piazza Duomo,Il concerto Love Mi di Fedez torna a Milano. Tutti i cantanti presenti alla serata di beneficenza,https://www.milanotoday.it/eventi/concerto-love-mi-fedez-2023.html,Musica e vita notturna,"Piazza del Duomo, Duomo, Municipio 1, Milano, Lombardia, Italia",45.4639102,9.1906398,0,0,0.1,1
Spettacoli,27-06-23,27-06-23,"Piazza Castello,20121, Milano, MI,Italia",Castello Sforzesco,Incognito,https://www.teatro.it/spettacoli/milano/castello-sforzesco/2022-2023/incognito,Teatro e spettacolo,"Piazza Castello, Cerchia dei Navigli, Municipio 1, Milano, Lombardia, 20121, Italia",45.4710309,9.1814326,0,0,0.1,1
Convegno/conferenza,28-06-23,28-06-23,"via Brera, 28, Milano, MI",Pinacoteca di Brera - Biblioteca Nazionale Braidense di Milano,Sei abbonato a Brera? Aiutaci a creare il futuro del museo,,Formazione e networking,"Istituto Nazionale di Astrofisica – Osservatorio astronomico di Brera, 28, Via Brera, Cerchia dei Navigli, Municipio 1, Milano, Lombardia, 20121, Italia",45.4715946,9.1889707,0,0,0.1,1
Spettacoli,29-06-23,29-06-23,"Piazza Castello,20121, Milano, MI,Italia",Castello Sforzesco,MAMMADIMERDA - Live,https://www.teatro.it/spettacoli/milano/castello-sforzesco/2022-2023/mammadimerda-live,Teatro e spettacolo,"Piazza Castello, Cerchia dei Navigli, Municipio 1, Milano, Lombardia, 20121, Italia",45.4710309,9.1814326,0,0,0.1,1
,30-06-23,30-06-23,"Corso Venezia, 2/A, Milano, MI",Teatro San Babila,"Musica e psicoterapia dal vivo al teatro san babila, va in scena il formoso therapy show",https://www.milanotoday.it/eventi/musica-e-psicoterapia-2023.html,Non classificato,"2a, Corso Venezia, Duomo, Municipio 1, Milano, Lombardia, 20121, Italia",45.4670204,9.1981104,0,0,0.1,1
Spettacoli,30-06-23,30-06-23,"Corso Buenos Aires 33,20124, Milano, MI,Italia",Elfo Puccini - Sala Bausch,La macchia,https://www.teatro.it/spettacoli/milano/elfo-puccini-sala-bausch/2022-2023/la-macchia,Teatro e spettacolo,"Teatro Elfo Puccini, 33, Corso Buenos Aires, Buenos Aires - Venezia, Municipio 3, Milano, Lombardia, 20124, Italia",45.4794317,9.2098387,0,0,0.3,3
Mostre,03-09-23,01-07-23,"Piazza del Duomo, 12, Milano, MI",Palazzo Reale,"La reggia allo specchio, nuova mostra a Palazzo Reale",https://www.milanotoday.it/eventi/mostra-reggia-allo-specchio-palazzo-reale.html,Arte e cultura,"Giacomo, 12, Piazza del Duomo, Duomo, Municipio 1, Milano, Lombardia, 20100, Italia",45.4632066,9.1914879,0,0,0.1,1
Spettacoli,01-07-23,01-07-23,"Corso Buenos Aires 33,20124, Milano, MI,Italia",Elfo Puccini - sala Shakespeare,Festen. Il gioco della verità,https://www.teatro.it/spettacoli/milano/elfo-puccini-sala-shakespeare/2022-2023/festen-il-gioco-della-verita,Teatro e spettacolo,"Teatro Elfo Puccini, 33, Corso Buenos Aires, Buenos Aires - Venezia, Municipio 3, Milano, Lombardia, 20124, Italia",45.4794317,9.2098387,0,0,0.3,3
Disco&Feste,01-07-23,01-07-23,"Via Bergognone, 34, Milano, MI",Base Milano,La festa Indie da Base Milano,https://www.milanotoday.it/eventi/festa-indie-base-milano.html,Musica e vita notturna,"Wikimedia Italia, 34, Via Bergognone Da Fossano, Tortona, Municipio 6, Milano, Lombardia, 20144, Italia",45.4518657,9.1625146,0,0,0.5,5
Spettacoli,02-07-23,02-07-23,"Piazza Castello,20121, Milano, MI,Italia",Castello Sforzesco,Miracolato,https://www.teatro.it/spettacoli/milano/castello-sforzesco/2022-2023/max-angioni-miracolato,Teatro e spettacolo,"Piazza Castello, Cerchia dei Navigli, Municipio 1, Milano, Lombardia, 20121, Italia",45.4710309,9.1814326,0,0,0.1,1
Spettacoli,03-07-23,03-07-23,"Corso di Porta Vittoria,6,20122, Milano, MI,Italia",Biblioteca Sormani,E ti vengo a cercare,https://www.teatro.it/spettacoli/milano/biblioteca-sormani/2022-2023/andrea-scanzi-e-ti-vengo-a-cercare,Teatro e spettacolo,"Biblioteca Comunale Centrale Sormani, 6, Corso di Porta Vittoria, Guastalla, Municipio 1, Milano, Lombardia, 20122, Italia",45.4621276,9.1981128,0,0,0.1,1
Auto e moto,16-07-23,06-07-23,"Piazza Gae Aulenti, Milano, MI",,"Multisensorialità, test drive e musica: Gae Aulenti prende vita per presentare KONA, il nuovo SUV compatto dal look futuristico",https://www.milanotoday.it/eventi/multisensorialita-testdrive-musica-nuovo-suv.html,Altri eventi,"Piazza Gae Aulenti, GARIBALDI REPUBBLICA, Municipio 9, Milano, Lombardia, Italia",45.4834778,9.1902248,0,0,0.7,7
Spettacoli,06-07-23,06-07-23,"Corso di Porta Vittoria,6,20122, Milano, MI,Italia",Biblioteca Sormani,Zitti tutti!,https://www.teatro.it/spettacoli/milano/biblioteca-sormani/2022-2023/zitti-tutti,Teatro e spettacolo,"Biblioteca Comunale Centrale Sormani, 6, Corso di Porta Vittoria, Guastalla, Municipio 1, Milano, Lombardia, 20122, Italia",45.4621276,9.1981128,0,0,0.1,1
Disco&Feste,08-07-23,08-07-23,"Piazza Castello, Milano, MI","Castello Sforzesco, Cortile delle Armi",La super festa di musica elettronica al Castello Sforzesco,https://www.milanotoday.it/eventi/festa-musica-elettronica-castello-sforzesco.html,Musica e vita notturna,"Piazza Castello, Cerchia dei Navigli, Municipio 1, Milano, Lombardia, Italia",45.4704699,9.1819129,0,0,0.1,1
Spettacoli,09-07-23,09-07-23,"Piazza Castello,20121, Milano, MI,Italia",Castello Sforzesco,A Muso Duro,https://www.teatro.it/spettacoli/milano/castello-sforzesco/2022-2023/rita-pavone,Teatro e spettacolo,"Piazza Castello, Cerchia dei Navigli, Municipio 1, Milano, Lombardia, 20121, Italia",45.4710309,9.1814326,0,0,0.1,1
Incontri,20-07-23,12-07-23,"Via Carlo Pisacane, 55, Milano, MI",Ars Antiqua,Gli animali nell'arte,https://www.milanotoday.it/eventi/gli-animali-nell-arte-giuseppe-tassone.html,Formazione e networking,"Via Carlo Pisacane, Buenos Aires - Venezia, Municipio 3, Milano, Lombardia, 20129, Italia",45.4741658,9.2110651,0,0,0.0,0
Mostra,12-07-23,12-07-23,"via Brera, 28, Milano, MI",Pinacoteca di Brera,FERNANDA WITTGENS - Museo Vivente,,Arte e cultura,"Istituto Nazionale di Astrofisica – Osservatorio astronomico di Brera, 28, Via Brera, Cerchia dei Navigli, Municipio 1, Milano, Lombardia, 20121, Italia",45.4715946,9.1889707,0,0,0.1,1
Mostre,17-09-23,14-07-23,"Piazza del Duomo, 12, Milano, MI",Palazzo Reale,Mostra  “mario nigro. opere 1947 – 1992”,https://www.milanotoday.it/eventi/mostra-mario-nigro-opere-1947-1992-2023.html,Arte e cultura,"Giacomo, 12, Piazza del Duomo, Duomo, Municipio 1, Milano, Lombardia, 20100, Italia",45.4632066,9.1914879,0,0,0.1,1
Spettacoli,14-07-23,14-07-23,"Piazza Castello,20121, Milano, MI,Italia",Castello Sforzesco,In concerto,https://www.teatro.it/spettacoli/milano/castello-sforzesco/2022-2023/goran-bregovic-in-concerto,Teatro e spettacolo,"Piazza Castello, Cerchia dei Navigli, Municipio 1, Milano, Lombardia, 20121, Italia",45.4710309,9.1814326,0,0,0.1,1
,17-07-23,17-07-23,"Piazza della Repubblica, 20, Milano, MI",Hotel The Westin Palace,Centrale district con avis milano: lunedì 17 luglio giornata di donazione aperta ai cittadini,https://www.milanotoday.it/eventi/centrale-district-con-avis-milano-lunedi-17-luglio-2023.html,Non classificato,"20, Piazza della Repubblica, Centrale, Municipio 2, Milano, Lombardia, 20124, Italia",45.4790175,9.1990724,0,0,0.13,13
,18-07-23,18-07-23,"Via Morigi, Milano, MI",El Canton,Il Pagante lancia il nuovo singolo al bar: birre gratis per tutti,https://www.milanotoday.it/eventi/pagante-birre-singolo-anteprima.html,Non classificato,"Via Morigi, Cerchia dei Navigli, Municipio 1, Milano, Lombardia, 20123, Italia",45.4637242,9.180881,0,0,0.1,1
