categoria,data_fine,data_inizio,indirizzo,luogo,titolo,url,macro_categoria,geocoded_address,lat,long,Cluster
Sport,20-09-19,2019-09-20,"Viale Giorgio Byron, Milano, MI",Arena Civica,"Di corsa contro l'Aids: venerdì 20 settembre arriva Arim, Aids Running in Music",https://www.milanotoday.it/eventi/corsa-contro-aids.html,Sport e attività fisica,"Viale Giorgio Byron, Parco Sempione, Municipio 1, Milano, Lombardia, 20154, Italia",45.4765949,9.1759169,0
Sport,20-09-19,2019-09-20,"Piazza Duca d'Aosta, Milano, MI",Stazione Centrale,A Milano si corre per salvare il pianeta,https://www.milanotoday.it/eventi/gara-contro-plastica-milano.html,Sport e attività fisica,"Piazza Duca d'Aosta, Centrale, Municipio 2, Milano, Lombardia, 20124, Italia",45.4848412,9.2032441,0
Disco&Feste,20-09-19,2019-09-20,"Via Giosuè Borsi, Milano, MI",Apollo Club,Serata Rollover all'Apollo Club con il producer spagnolo Pional,https://www.milanotoday.it/eventi/serata-rollover-apollo-club.html,Musica e vita notturna,"Via Giosuè Borsi, Navigli, Municipio 6, Milano, Lombardia, 20136, Italia",45.4474661,9.1740326,7
Teatri,21-09-19,2019-09-20,"Via Mac Mahon, 16, Milano, MI",Teatro Out Off,"Amore altrove, un nuovo musical",https://www.milanotoday.it/eventi/amore-altrove-un-nuovo-musical-compagnia-2019.html,Teatro e spettacolo,"Via Mac Mahon, Villapizzone, Municipio 8 di Milano, Milano, Lombardia, 20155, Italia",45.4970636,9.153938,3
Manifestazioni,22-09-19,2019-09-20,"Viale Emilio Alemagna, 6, Milano, MI",La Triennale di Milano,"In Triennale arriva il festival delle Serie TV: tra i protagonisti anche i ragazzi di ""Riccanza""",https://www.milanotoday.it/eventi/festival-serie-tv-triennale.html,Altri eventi,"Triennale Design Museum, 6, Viale Emilio Alemagna, Parco Sempione, Municipio 1, Milano, Lombardia, 20121, Italia",45.4721477,9.1734894,0
Incontri,20-09-19,2019-09-20,"Via Giovanni Battista Rasario, 8, Milano, MI",Figino - Borgo Sostenibile,Cena in viola,https://www.milanotoday.it/eventi/cena-in-viola-2019.html,Formazione e networking,"Via Giovanni Battista Rasario, Figino, Municipio 7, Milano, Lombardia, 20016, Italia",45.4916414,9.075565,1
Incontro/presentazione,20-09-19,2019-09-20,"Corso Magenta, Milano, MI",Luogo sconosciuto,Vasi apuli al Museo di Vigevano - presentazione,,Formazione e networking,"Corso Magenta, Magenta - San Vittore, Municipio 1, Milano, Lombardia, 20123, Italia",45.4657212,9.17112,0
Mostre,12-01-20,2019-09-20,"Piazza del Duomo, 8, Milano, MI",Museo del Novecento,Insalate e pomodori germogliano tra frigoriferi e televisori rotti: la mostra gratuita al Museo del '900:,https://www.milanotoday.it/eventi/after-leonardo-installazione.html,Arte e cultura,"8, Piazza del Duomo, Duomo, Municipio 1, Milano, Lombardia, 20123, Italia",45.4632949,9.1904599,0
Cibo e Vino,29-09-19,2019-09-20,"Via Luigi Granelli, 1, Milano, MI",Carroponte,"Würstel, crauti e birre artigianali: al Carroponte arriva l'Oktoberfest",https://www.milanotoday.it/eventi/festa-birra-oktoberfest-carroponte.html,Enogastronomia,"Carroponte, 1, Via Luigi Granelli, Rondò, Torretta, Sesto San Giovanni, Zona Omogenea Milano Nord, Milano, Lombardia, 20099, Italia",45.529574,9.2209217,5
Visita Guidata,20-09-19,2019-09-20,"Piazza Duomo, Milano, MI",Luogo sconosciuto,"Un Duomo, due Anime",,Arte e cultura,"Piazza del Duomo, Duomo, Municipio 1, Milano, Lombardia, Italia",45.4639102,9.1906398,0
,13-01-20,2019-09-20,"Largo Isarco, 2, Milano, MI",Fondazione Prada,'Spitzmaus e altri tesori': la nuova mostra della Fondazione Prada con la mummia di un toporagno di 2000 anni,https://www.milanotoday.it/eventi/sarcofago-spitzmaus-mostra.html,Non classificato,"2, Largo Isarco, Scalo Romana, Municipio 5, Milano, Lombardia, 20139, Italia",45.4441885,9.2034768,9
