categoria,data_fine,data_inizio,indirizzo,luogo,titolo,url,macro_categoria,geocoded_address,lat,long,cluster,subcluster,hierarchical_id
Escursioni,04-05-19,04-05-19,"Via San Vittore, 25, Milano, MI",Basilica di San Vittore al Corpo,"Basilica di San Vittore: visite guidate al Campanile, ingresso libero",https://www.milanotoday.it/eventi/san-vittore-4-maggio-2019.html,Sport e attività fisica,"25, Via San Vittore, Magenta - San Vittore, Municipio 1, Milano, Lombardia, 20123, Italia",45.4629064,9.1701019,0,0,0.0
Mostre,11-05-19,04-05-19,"Via Molino delle Armi, Milano, MI",Milano,Creativi in sciopero. La mostra,https://www.milanotoday.it/eventi/creativi-in-sciopero-la-mostra-2019.html,Arte e cultura,"Via Molino delle Armi, Cerchia dei Navigli, Municipio 1, Milano, Lombardia, 20123, Italia",45.4562414,9.1861188,0,0,0.0
,04-05-19,04-05-19,"Via Cesare Lombroso, 54, Milano, MI",Mercato Agroalimentare,Sai fare la spesa? Mettiti alla prova sabato 4 maggio in un contest al Mercato Agroalimentare con Foody,https://www.milanotoday.it/eventi/contest-mercato-agroalimentare-spesa-foody.html,Non classificato,"Via Cesare Lombroso, Ortomercato, Municipio 4, Milano, Lombardia, 20130, Italia",45.4561736,9.2240956,0,-1,0.-1
Concerti,05-05-19,05-05-19,"Viale Lucania, 18, Milano, MI",Chiesina San Vittore e 40 Martiri,"Concerto lirico: ""Corvetto in lirica""",https://www.milanotoday.it/eventi/concerto-lirico-corvetto-in-lirica-katerina-adamova.html,Musica e vita notturna,"Viale Lucania, Lodi - Corvetto, Municipio 4, Milano, Lombardia, 20139, Italia",45.4430378,9.2239399,0,-1,0.-1
Incontri,09-06-19,05-05-19,"Via San Calimero, 9, Milano, MI",Chiesa di S. Calimero,Festival dell'ascensione 2019,https://www.milanotoday.it/eventi/festival-dell-ascensione-2019.html,Formazione e networking,"Via San Calimero, Vigentina, Municipio 1, Milano, Lombardia, 20122, Italia",45.4564433,9.1927285,0,0,0.0
Concerti,05-05-19,05-05-19,"Viale Lucania, 18, Milano, MI",Chiesina San Vittore e 40 Martiri,Concerto lirico: la grande tradizione italiana: la romanza da salotto e la canzone napoletana,https://www.milanotoday.it/eventi/concerto-lirico-la-grande-tradizione-italiana.html,Musica e vita notturna,"Viale Lucania, Lodi - Corvetto, Municipio 4, Milano, Lombardia, 20139, Italia",45.4430378,9.2239399,0,-1,0.-1
Spettacoli,05-05-19,05-05-19,"Via Boltraffio 21,20159, Milano, MI,Italia",Fontana,La guerra,https://www.teatro.it/spettacoli/milano/sala-fontana/2018-2019/la-guerra,Teatro e spettacolo,"21, Via Gian Antonio Boltraffio, Isola, Municipio 9, Milano, Lombardia, 20159, Italia",45.4921952,9.1878419,0,0,0.0
,05-05-19,05-05-19,"Piazza Sempione, Milano, MI",Parco Sempione,"Milano, ecco il mega pic-nic al Parco Sempione con una ""tovaglia"" lunga mille metri",https://www.milanotoday.it/eventi/pic-nic-parco-sempione.html,Non classificato,"Piazza Sempione, Parco Sempione, Municipio 1, Milano, Lombardia, Italia",45.4755976,9.1725451,0,0,0.0
Spettacoli,05-05-19,05-05-19,"Corso Buenos Aires,33,20124, Milano, MI,Italia",Teatro Elfo Puccini - sala Fassbinder,"Leonardo, che genio!",https://www.teatro.it/spettacoli/milano/elfo-puccini-sala-fassbinder/2018-2019/leonardo-che-genio,Teatro e spettacolo,"Teatro Elfo Puccini, 33, Corso Buenos Aires, Buenos Aires - Venezia, Municipio 3, Milano, Lombardia, 20124, Italia",45.4794317,9.2098387,0,0,0.0
Spettacoli,05-05-19,05-05-19,"Piazza Cesare Beccaria 8,20122, Milano, MI,Italia",Gerolamo,Cimbellino,https://www.teatro.it/spettacoli/milano/gerolamo/2018-2019/cimbellino,Teatro e spettacolo,"Teatro Gerolamo, 8, Piazza Cesare Beccaria, Duomo, Municipio 1, Milano, Lombardia, 20122, Italia",45.464175,9.1945551,0,0,0.0
Spettacoli,05-05-19,05-05-19,"Via Alessandro Manzoni 42,20121, Milano, MI,Italia",Manzoni,Caveman,https://www.teatro.it/spettacoli/milano/manzoni/2018-2019/caveman,Teatro e spettacolo,"Teatro Manzoni, 42, Via Alessandro Manzoni, Cerchia dei Navigli, Municipio 1, Milano, Lombardia, 20121, Italia",45.4710286,9.1944762,0,0,0.0
